00:00:11.875,00:00:15.750,00:00:23.041,00:00:47.708,00:00:56.083,00:01:00.666,00:01:03.791,00:01:09.416,00:01:11.291,00:01:13.458,00:01:15.541,00:01:19.958,00:01:29.750,00:01:31.416,00:01:39.750,00:01:43.916,00:01:52.666,00:01:57.958,00:02:00.875,00:02:03.458,00:02:06.875,00:02:26.375,00:02:29.083,00:02:36.000,00:02:40.833,00:02:42.291,00:02:43.291,00:02:46.208,00:02:48.000,00:02:49.541,00:02:56.125,00:02:57.750,00:03:00.500,00:03:05.958,00:03:09.333,00:03:12.166,00:03:14.666,00:03:15.708,00:03:16.916,00:03:19.833,00:03:24.166,00:03:25.916,00:03:27.458,00:03:28.875,00:03:31.625,00:03:33.791,00:03:40.500,00:03:43.791,00:03:46.250,00:03:49.916,00:03:52.458,00:04:02.041,00:04:03.500,00:04:10.750,00:04:12.000,00:04:13.666,00:04:15.333,00:04:17.000,00:04:18.666,00:04:19.500,00:04:21.166,00:04:22.833,00:04:24.500,00:04:26.166,00:04:30.333,00:04:35.958,00:04:37.916,00:04:39.708,00:04:41.375,00:04:44.708,00:04:52.208,00:04:55.541,00:04:57.125,00:05:05.208,00:05:08.291,00:05:12.500,00:05:14.416,00:05:17.208,00:05:19.208,00:05:22.166,00:05:23.708,00:05:34.333,00:05:36.875,00:05:39.750,00:06:11.166,00:06:12.708,00:06:15.375,00:06:18.333,00:06:21.166,00:06:30.791,00:06:32.500,00:06:34.500,00:06:36.125,00:06:38.958,00:06:39.708,00:06:44.958,00:06:48.125,00:06:50.416,00:06:52.125,00:06:56.125,00:06:57.333,00:07:00.041,00:07:00.708,00:07:01.875,00:07:04.333,00:07:06.416,00:07:07.500,00:07:09.291,00:07:10.791,00:07:13.708,00:07:15.541,00:07:16.166,00:07:20.583,00:07:22.166,00:07:23.208,00:07:24.750,00:07:31.750,00:07:38.291,00:07:51.333,00:07:52.875,00:08:00.166,00:08:01.666,00:08:03.833,00:08:06.291,00:08:08.625,00:08:09.875,00:09:39.916,00:09:40.916,00:09:56.416
Scene Number,Frame Number (Start),Timecode,Start Time (seconds),Length (seconds)
1,285,00:00:11.875,11.875,3.875
2,378,00:00:15.750,15.75,7.29166666667
3,553,00:00:23.041,23.0416666667,24.6666666667
4,1145,00:00:47.708,47.7083333333,8.375
5,1346,00:00:56.083,56.0833333333,4.58333333333
6,1456,00:01:00.666,60.6666666667,3.125
7,1531,00:01:03.791,63.7916666667,5.625
8,1666,00:01:09.416,69.4166666667,1.875
9,1711,00:01:11.291,71.2916666667,2.16666666667
10,1763,00:01:13.458,73.4583333333,2.08333333333
11,1813,00:01:15.541,75.5416666667,4.41666666667
12,1919,00:01:19.958,79.9583333333,9.79166666667
13,2154,00:01:29.750,89.75,1.66666666667
14,2194,00:01:31.416,91.4166666667,8.33333333333
15,2394,00:01:39.750,99.75,4.16666666667
16,2494,00:01:43.916,103.916666667,8.75
17,2704,00:01:52.666,112.666666667,5.29166666667
18,2831,00:01:57.958,117.958333333,2.91666666667
19,2901,00:02:00.875,120.875,2.58333333333
20,2963,00:02:03.458,123.458333333,3.41666666667
21,3045,00:02:06.875,126.875,19.5
22,3513,00:02:26.375,146.375,2.70833333333
23,3578,00:02:29.083,149.083333333,6.91666666667
24,3744,00:02:36.000,156.0,4.83333333333
25,3860,00:02:40.833,160.833333333,1.45833333333
26,3895,00:02:42.291,162.291666667,1.0
27,3919,00:02:43.291,163.291666667,2.91666666667
28,3989,00:02:46.208,166.208333333,1.79166666667
29,4032,00:02:48.000,168.0,1.54166666667
30,4069,00:02:49.541,169.541666667,6.58333333333
31,4227,00:02:56.125,176.125,1.625
32,4266,00:02:57.750,177.75,2.75
33,4332,00:03:00.500,180.5,5.45833333333
34,4463,00:03:05.958,185.958333333,3.375
35,4544,00:03:09.333,189.333333333,2.83333333333
36,4612,00:03:12.166,192.166666667,2.5
37,4672,00:03:14.666,194.666666667,1.04166666667
38,4697,00:03:15.708,195.708333333,1.20833333333
39,4726,00:03:16.916,196.916666667,2.91666666667
40,4796,00:03:19.833,199.833333333,4.33333333333
41,4900,00:03:24.166,204.166666667,1.75
42,4942,00:03:25.916,205.916666667,1.54166666667
43,4979,00:03:27.458,207.458333333,1.41666666667
44,5013,00:03:28.875,208.875,2.75
45,5079,00:03:31.625,211.625,2.16666666667
46,5131,00:03:33.791,213.791666667,6.70833333333
47,5292,00:03:40.500,220.5,3.29166666667
48,5371,00:03:43.791,223.791666667,2.45833333333
49,5430,00:03:46.250,226.25,3.66666666667
50,5518,00:03:49.916,229.916666667,2.54166666667
51,5579,00:03:52.458,232.458333333,9.58333333333
52,5809,00:04:02.041,242.041666667,1.45833333333
53,5844,00:04:03.500,243.5,7.25
54,6018,00:04:10.750,250.75,1.25
55,6048,00:04:12.000,252.0,1.66666666667
56,6088,00:04:13.666,253.666666667,1.66666666667
57,6128,00:04:15.333,255.333333333,1.66666666667
58,6168,00:04:17.000,257.0,1.66666666667
59,6208,00:04:18.666,258.666666667,0.833333333333
60,6228,00:04:19.500,259.5,1.66666666667
61,6268,00:04:21.166,261.166666667,1.66666666667
62,6308,00:04:22.833,262.833333333,1.66666666667
63,6348,00:04:24.500,264.5,1.66666666667
64,6388,00:04:26.166,266.166666667,4.16666666667
65,6488,00:04:30.333,270.333333333,5.625
66,6623,00:04:35.958,275.958333333,1.95833333333
67,6670,00:04:37.916,277.916666667,1.79166666667
68,6713,00:04:39.708,279.708333333,1.66666666667
69,6753,00:04:41.375,281.375,3.33333333333
70,6833,00:04:44.708,284.708333333,7.5
71,7013,00:04:52.208,292.208333333,3.33333333333
72,7093,00:04:55.541,295.541666667,1.58333333333
73,7131,00:04:57.125,297.125,8.08333333333
74,7325,00:05:05.208,305.208333333,3.08333333333
75,7399,00:05:08.291,308.291666667,4.20833333333
76,7500,00:05:12.500,312.5,1.91666666667
77,7546,00:05:14.416,314.416666667,2.79166666667
78,7613,00:05:17.208,317.208333333,2.0
79,7661,00:05:19.208,319.208333333,2.95833333333
80,7732,00:05:22.166,322.166666667,1.54166666667
81,7769,00:05:23.708,323.708333333,10.625
82,8024,00:05:34.333,334.333333333,2.54166666667
83,8085,00:05:36.875,336.875,2.875
84,8154,00:05:39.750,339.75,31.4166666667
85,8908,00:06:11.166,371.166666667,1.54166666667
86,8945,00:06:12.708,372.708333333,2.66666666667
87,9009,00:06:15.375,375.375,2.95833333333
88,9080,00:06:18.333,378.333333333,2.83333333333
89,9148,00:06:21.166,381.166666667,9.625
90,9379,00:06:30.791,390.791666667,1.70833333333
91,9420,00:06:32.500,392.5,2.0
92,9468,00:06:34.500,394.5,1.625
93,9507,00:06:36.125,396.125,2.83333333333
94,9575,00:06:38.958,398.958333333,0.75
95,9593,00:06:39.708,399.708333333,5.25
96,9719,00:06:44.958,404.958333333,3.16666666667
97,9795,00:06:48.125,408.125,2.29166666667
98,9850,00:06:50.416,410.416666667,1.70833333333
99,9891,00:06:52.125,412.125,4.0
100,9987,00:06:56.125,416.125,1.20833333333
101,10016,00:06:57.333,417.333333333,2.70833333333
102,10081,00:07:00.041,420.041666667,0.666666666667
103,10097,00:07:00.708,420.708333333,1.16666666667
104,10125,00:07:01.875,421.875,2.45833333333
105,10184,00:07:04.333,424.333333333,2.08333333333
106,10234,00:07:06.416,426.416666667,1.08333333333
107,10260,00:07:07.500,427.5,1.79166666667
108,10303,00:07:09.291,429.291666667,1.5
109,10339,00:07:10.791,430.791666667,2.91666666667
110,10409,00:07:13.708,433.708333333,1.83333333333
111,10453,00:07:15.541,435.541666667,0.625
112,10468,00:07:16.166,436.166666667,4.41666666667
113,10574,00:07:20.583,440.583333333,1.58333333333
114,10612,00:07:22.166,442.166666667,1.04166666667
115,10637,00:07:23.208,443.208333333,1.54166666667
116,10674,00:07:24.750,444.75,7.0
117,10842,00:07:31.750,451.75,6.54166666667
118,10999,00:07:38.291,458.291666667,13.0416666667
119,11312,00:07:51.333,471.333333333,1.54166666667
120,11349,00:07:52.875,472.875,7.29166666667
121,11524,00:08:00.166,480.166666667,1.5
122,11560,00:08:01.666,481.666666667,2.16666666667
123,11612,00:08:03.833,483.833333333,2.45833333333
124,11671,00:08:06.291,486.291666667,2.33333333333
